sName;sLr;sInUrlPlus;sInUrlMinus
Architektura;cs;architektura, bydleni;
Auto;xx;auto;
Bydlení;cs;bydleni, domov, living;
Cestování;cs;cestovani, travel;
Doprava;cs;doprava, zeleznice;
Filmy;xx;film, filmy, movie, movies;
Hobby;xx;hobby;
Móda;xx;moda, fashion;
Muži;cs;man, muž, muži;
Plzeò;xx;pilsen, plzen;
Praha;xx;prague, prag, praha;
Sport;xx;sport;
Tech;xx;tech, mobil, pc, audio, video;
Ženy;cs;woman, žena, ženy;
Krimi;cs;krimi;
Celebrity;cs;celebrity;
Architektura;en;architecture;
Bydlení;en;living;
Cestování;en;travelling;
Doprava;en;transport, transportation;
Muži;en;men, man;
Ženy;en;woman, women;
Celebrity;en;celebrities;
Business;xx;business, obchod;
Styl;xx;style, styl;
